name,description,category,url
Dance Company at Virginia Tech,"The Dance Company at Virginia Tech is a student-run organization united by a shared love of dance. We promote self-expression, community, technique, and performance through weekly rehearsals, on-campus shows, and special events throughout the year.",Arts & Entertainment,https://dancecovt.wixsite.com/dancecovt
Dancing's Our Poison,"Founded in May 2009, DOP is a hip hop dance crew that has since hosted weekly dance workshops at the Virginia Tech campus during the school year and performed at various showcases to inspire others not only to dance but also to pursue their passions.",Arts & Entertainment,https://speadingthepoison.wixsite.com/dancing
Debate Team at Virginia Tech,A place to learn competitive debate skills &amp; eventually be able to use those skills to compete.,Academic,https://gobblerconnect.vt.edu/debateatvt/
Deeper Life Campus Fellowship,"Deeper Life Campus Fellowship at Virginia Tech is to be a diverse group of Christian students, staff, and associate members' organization who are committed to serving the Virginia Tech campus",Academic,https://gobblerconnect.vt.edu/dlcf/
Delta Chi Gamma,Delta Chi Gamma is a service and leadership sorority founded at Virginia Tech in Spring 2014. Please follow our Instagram to keep up to date with events and recruitment information! Don’t hesitate to reach out!,Honor Society,http://deltachigammavt.com
Delta Delta Delta,"Delta Delta Delta is a proud member of Fraternity and Sorority Life at Virginia Tech. Our chapter is founded on sisterhood, academics, and philanthropic service to our national partner, St. Jude Children's Hospital.",Other,https://gobblerconnect.vt.edu/tridelta/
Delta Epsilon Mu,"Delta Epsilon Mu is the nation's premier Professional Pre-Health Co-Ed Fraternity. We are open to all students who have an interest in a Health-related career, professional development, and social involvement.",Academic,http://vtdem.com
"Delta Omicron, Gamma Mu Chapter",Delta Omicron is a co-ed professional music organization. Our mission is to promote and support excellence in music and musicianship through a variety of service projects and musical events that benefit the campus and surrounding community.,Academic,https://gobblerconnect.vt.edu/deltaomicron/
Delta Psi Nu Local Leadership Fraternity,Delta Psi Nu is a local co-ed fraternity for undergraduate students founded in 2011 to inspire leadership within its brothers and contribute to the local community of the New River Valley area.,Service & Charity,https://gobblerconnect.vt.edu/deltapsinu/
Delta Sigma Pi,Premier Co-ed Professional Business Fraternity,Academic,https://www.vtdeltasigmapi.net/
Design,We are a South Asian American Christian Community that seeks to Honor Christ and celebrate desi culture.,Campus Spirit & Traditions,https://gobblerconnect.vt.edu/designmovement/
Design Build Fly,"Design Build Fly at Virginia Tech is an engineering design team that competes in the annual AIAA Design, Build, Fly competition sponsored by Raytheon and Textron. The team placed top 10 in the last 5 years and has the 4th most top 5 finishes in history.",Academic,https://gobblerconnect.vt.edu/dbf/
Destructive Arena Robotics Team at Virginia Tech,"DART is a robotics team focused on the iterative design, rapid development, and testing of combat robots in weight classes of 3lb and lower for competitions year-round. With a focus in reparability and design for assembly, we are open to all engineers.",Academic,https://gobblerconnect.vt.edu/dart/
Dhamaal at Virginia Tech,"Since 2004, Dhamaal at Virginia Tech has been a co-ed competitive Raas/Garba dance team. Dhamaal works to promote the rich culture and vibrant traditions of Indian dance while representing the Hokie spirit in all their performances.",Arts & Entertainment,https://gobblerconnect.vt.edu/dhamaalatvt/
Disability Alliance,"This is a space for VT community members with disabilities and their allies to come together and engage in community building, mutual support, and advocacy.",Advocacy & Awareness,https://www.facebook.com/groups/disabilityalliancevt/
Disc Golf Club at Virginia Tech,"The organization is intended to congregate and expand the disc golf community at Virginia Tech. There will be meetings throughout the semester that are open to all skill levels, as well as a team of advanced players that compete in collegiate tournament.",Enthusiasts & Special Interests,https://groupme.com/join_group/87474234/S92gSM5X
Dive Club at Virginia Tech,"The Virginia Tech Dive Club offers students the opportunity to train and practice diving in a non-varsity environment. We are open to both beginners and experienced divers, providing a safe and supportive space to learn, develop skill, and have fun.",Recreation,https://www.theblossomtogether.org/
DreamCorps chapter at Virginia Tech,"We dedicate to spread the awareness of education in rural China on the VT campus. By connecting our members to different domains of human services programs in our community, we want to be inspired to be more involved members of society.",Advocacy & Awareness,https://gobblerconnect.vt.edu/dreamcorpsvt/
Drone Racing Team,"3X collegiate champions - 2024, 2025, 2026! The VTDRT is an organization dedicated to teaching students how to build and fly FPV drones. We compete nationally as members of the Collegiate Drone Racing Association. Join us at the Drone Park, Sundays 12-4.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/vtdrt/
Ducks Unlimited Chapter at Virginia Tech,"Ducks Unlimited conserves, restores, and manages wetlands and associated habitats for North America's waterfowl. The Chapter at Virginia Tech focuses on fundraising to support National DU's conservation efforts.",Advocacy & Awareness,https://gobblerconnect.vt.edu/duvt/
e-NABLE at Virginia Tech,"e-NABLE at Virginia Tech is a charitable, design-based club that creates assistive devices for children, adults, and pets in need.",Academic,https://linktr.ee/enable.hokie
Earthquake Engineering Research Institute,"EERI is a national, nonprofit, technical society dedicated to reducing earthquake risk by advancing the science and practice of earthquake engineering. Participation ranges from officer roles, seismic design team members and general body members.",Academic,https://gobblerconnect.vt.edu/eeri/
Economics Club at Virginia Tech,The economics club is a place for students of all majors with an interest in economics to come and learn more about the subject and connect with other like minded students interested in economics at Virginia Tech.,Academic,https://gobblerconnect.vt.edu/econclub/
Economics Graduate Student Association,EGSA is a student organization formed by graduate students of Economics. The main goal of EGSA is to communicate needs of graduate students in the department.,Academic,https://gobblerconnect.vt.edu/egsa/
EDM Club at Virginia Tech,"EDM Club is a social organization/community created for those who are passionate about electronic music. We organize events to enjoy music, make connections, and create a tight-knit community here at Virginia Tech.",Arts & Entertainment,https://discord.gg/mbhhtAFwGD
Egyptian Student Association,This is an organization aimed at building a collaborative Egyptian community that supports its members and promotes Egyptian culture to the Virginia Tech community.,Advocacy & Awareness,https://gobblerconnect.vt.edu/egyptianstudentassociation/
Elevate Magazine,"Elevate Magazine is a student-run publication dedicated to culture, fashion, and the arts. Elevate Magazine's mission is to stimulate the minds of our communities, promote a love of culture, and share a desire for creative expression.",Advocacy & Awareness,https://elevatexmagazine.com/
Embroiderers' Guild of America at Virginia Tech,We are an organization promoting a creative and healthy way to destress through the art of embroidery!,Advocacy & Awareness,https://gobblerconnect.vt.edu/ega/
Engineering Volleyball League at Virginia Tech,We run a volleyball league in the Spring semester where teams representing each major compete to crown the best engineering major. This is meant to be a fun environment for people of all skill levels to have fun and meet people.,Recreation,https://gobblerconnect.vt.edu/evl/
Engineers in Action at Virginia Tech,To advance students and empower underdeveloped communities through bridge building that will create sustainable economic change.,Academic,https://gobblerconnect.vt.edu/eiavt/
Engineers Without Borders,"EWB supports community-driven development programs worldwide by collaborating with local partners to design and implement sustainable engineering projects, while creating transformative experiences and responsible leaders.",Academic,https://gobblerconnect.vt.edu/engineerswithoutborders/
Engineers' Forum Magazine,"Engineers' Forum is a paid student magazine publication team that has been in operation for the past 30 years. We write articles that highlight the latest engineering and technology trends, with a focus on the Virginia Tech student engineering experience",Academic,http://www.vtengineersforum.com
English Club at Virginia Tech,"The English Club at Virginia Tech is for students interested in English, whether that be writing or reading, to come together to make friends and share interests. We hope to encourage involvement in the department and the Blacksburg community.",Arts & Entertainment,https://gobblerconnect.vt.edu/englishclubvt/
English Graduate Student Organization,The English Graduate Student Organization is a group for English Graduate Students who are interesting in networking and supporting each other during their time here at Virginia Tech.,Academic,https://gobblerconnect.vt.edu/englishgraduatestudentorganization/
Entrepreneurship Club at Virginia Tech,The Entrepreneurship Club at Virginia Tech brings together the most creative and action-oriented students to build world changing ideas. Please join the newsletter at eclubvt.com to keep up-to-date with our events.,Academic,https://eclubvt.com
Environmental Coalition,"Environmental Coalition is an organization made up of student leaders dedicated to advocating for a more sustainable future at Virginia Tech, the NRV, and various communities.",Advocacy & Awareness,https://www.facebook.com/TheECVT/
Environmental Data Science Club at Virginia Tech,"The Environmental Data Science Club builds community and provides professional skills & opportunities for students interested in the intersection of environmental science, data analysis, and technology.",Academic,https://gobblerconnect.vt.edu/edsclub/
Epsilon Sigma Alpha,"ESA is a co-ed service and leadership organization founded at VT in 2007. We are Good Friends, Good Work, and Good Times. We create activities and support causes that let us surround ourselves with welcoming, positive people who enjoy making a difference",Service & Charity,https://gobblerconnect.vt.edu/epsilonsigmaalpha/
Equine Medicine Club,We hope to educate aspiring and developing students to pursue a career in equine medicine and promote equine welfare.,Academic,https://gobblerconnect.vt.edu/equinemedicineclub/
Eritrean-Ethiopian Student Association at Virginia Tech,"EESA is an organization that allows students to remain connected to their Eritrean/Ethiopian heritage no matter how far from home they have traveled to attend VT. With opportunities for socializing and networking, we want students to thrive.",Cultural & International,https://gobblerconnect.vt.edu/eesa/
Eta Sigma Delta,"ESD is committed to building a stronger and more engaged hospitality honors society through meaningful service projects, philanthropy initiatives, and intentional recruitment. We strive to create opportunities for members to give back to the community, build connections, and increase awareness of…",Academic,https://gobblerconnect.vt.edu/etasigmadelta/
Ethics Bowl at Virginia Tech,Ethics Bowl at Virginia Tech meets weekly to discuss the ethical dimensions of contemporary issues and controversial topics using philosophical frameworks. We also prepare a team for annual competitions.,Academic,https://gobblerconnect.vt.edu/ethicsbowlatvt/
European & Transatlantic Affairs Organization,The European and Transatlantic Affairs Organization facilitates US-Transatlantic Affairs research and learning opportunities by participating in national and internationally organized simulations.,Academic,https://gobblerconnect.vt.edu/etao/
Exodus at Virginia Tech,Exodus at Virginia Tech is a video and stage performance crew that focuses on presenting K-Pop music to the public. Members with varying dance experience actively pursue their interests via consistent practices to present impactful performances.,Arts & Entertainment,https://exodusvt.wixsite.com/exodus-at-virginia-t
Exotic Animal Medicine Club,"The mission of the Exotic Animal Medicine Club at Virginia Tech is to introduce students to careers involving exotic, wildlife, marine, and non-traditional animals while promoting high-quality medical care for species that are often overlooked. The organization provides ongoing educational,…",Service & Charity,https://gobblerconnect.vt.edu/EAMC/
Fellowship of Christian Athletes at Virginia Tech,Sports Ministry seeking to see the world transformed by Jesus through the influence of coaches and athletes.,Recreation,https://gobblerconnect.vt.edu/fca/
Field Hockey Club,"Love field hockey? Want to play just for fun? Well, this is the club for you! This club offers its members the opportunity to play the sport they love without the commitment of a club/intramural sport or the fear of try-outs! JOIN TODAY!",Recreation,https://groupme.com/join_group/94951179/3XR2RY9x
Filipino American Student Association,The Filipino American Student Association (FASA) is a student-led organization at Virginia Tech that strives to promote Filipino culture and heritage to students who are interested in learning more while aiming to provide a safe space for our members.,Cultural & International,https://gobblerconnect.vt.edu/vtfasa/
Film Photography Club at Virginia Tech,"Our goal is to introduce people to the art and science of film photography, photo development, and its link to local history. By using our resources we try to eliminate barriers to entry in this incredible hobby!",Arts & Entertainment,https://gobblerconnect.vt.edu/filmphotographyclub/
Finance for the Future at Virginia Tech,"Finance for the Future endeavors to empower students by offering a secure, comfortable environment that fosters an investment concentrated education for all majors along with a mentorship-based membership program.",Academic,https://gobblerconnect.vt.edu/vtfff/
FinTech Club at Virginia Tech,"FinTech Club at Virginia Tech is a student organization dedicated to promoting and connecting students who are passionate about the FinTech industry, quantitative trading, and financial markets. The club welcomes students from all majors and academic years, connecting them with industry…",Academic,https://www.fintechclubatvirginiatech.com/
Firewatch at Virginia Tech,Interested in tracking fire alarms on campus? You've come to the right place!,Advocacy & Awareness,https://vtfirewatch.com/
First Generation at Virginia Tech,"VTf1rst is for individuals who are or were the first in their family to attend a bachelor's degree granting institution. Open to Undergrads, Grad Students and Faculty who identify as first-generation college students or whomever is interested.",Advocacy & Awareness,https://gobblerconnect.vt.edu/vtf1rst/
First-Year Leadership Experience,"To assist first-year students in better understanding their personal identities, leadership styles, Strengths, service, and leadership at VT. Leadership Development within the FLEX program is fostered through understanding and committing to the competencies of the Aspirations for Student Learning,…",Professional & Career Development,https://gobblerconnect.vt.edu/FLEX/
Fish and Wildlife Graduate Student Association,We serve the graduate students of the Department of Fish and Wildlife Conservation at Virginia Tech.,Academic,https://gobblerconnect.vt.edu/fiwgsa/
Fly Fishing Club at Virginia Tech,"Fly fishing activities (trips, fly tying, films, ect.) Teaching beginners the basics of fly casting and tying flies. All levels of experience are welcome. Loner equipment is available.",Enthusiasts & Special Interests,http://vtffclub.weebly.com/index.html
Food Animal Practitioner's Club,"As an official student organization at Virginia Tech our goal is to expose veterinary students interested in food animal medicine to extracurricular learning experiences. We host guest speakers, wet labs and the occasional off campus field trip!",Academic,https://gobblerconnect.vt.edu/fapc/
Food Matters,"Food Matters explores and celebrates all aspects of food studies. We get together to eat, cook, garden, forage, learn about food cultures and food politics, and think about how food matters in our world!",Advocacy & Awareness,https://gobblerconnect.vt.edu/foodmatters/
Food Science Club,"Our mission is to encourage fellowship between students interested in Food Science by participating in service events, industry-driven and academic competitions, professional networking opportunities, and food-related social events.",Academic,https://gobblerconnect.vt.edu/fsc/
Forecasting Club at Virginia Tech,"Together, the club meets to analyze different weather models and outputs to practice forecasting real-world situations, further preparing meteorology students and weather buffs for post-grad life.",Academic,https://gobblerconnect.vt.edu/forecastingclub/
Forestry Graduate Student Association at Virginia Tech,FGSA is a collective of graduate students from the Forest Resources and Environmental Conservation Department in the College of Natural Resources at Virginia Tech.,Academic,https://gobblerconnect.vt.edu/frecgsa/
Formula SAE,"Our mission is to conceive, design, and fabricate two high-performance formula-style racecars to win an annual international competition sponsored by the Society of Automotive Engineers (SAE).",Academic,https://vtmotorsports.org
French Club at Virginia Tech,"Join us for weekly conversations and activities in French! All levels of French are welcome, with learning and native speakers here to help practice your French listening and conversation skills.",Academic,https://groupme.com/join_group/105580030/BAzJeF5l
Friends of Israel at Virginia Tech,"Friends of Israel’s mission is to educate Virginia Tech students about every aspect of Israel and to celebrate its accomplishments in technology, sciences, mathematics, and the arts, while hosting fun events.",Advocacy & Awareness,https://gobblerconnect.vt.edu/friendsofisrael/
Friends of Médecins Sans Frontières at Virginia Tech,"The mission of Friends of Médecins Sans Frontières (Doctors Without Borders) is to raise awareness of global humanitarian crises, support MSF through education, advocacy, and fundraising, and foster a community of students committed to humanitarian service and global health.",Professional & Career Development,https://gobblerconnect.vt.edu/FoMSF/
Fungus United at Virginia Tech,Fungus United is a club dedicated to creating an atmosphere that fosters and encourages fungi education and activities.,Academic,https://gobblerconnect.vt.edu/fungusunited/
Fusion Dance Team at Virginia Tech,"Fusion Dance Team is a group of dancers brought together by our love of dance. Team members choreograph and choose to perform dances in Contemporary, Hip-Hop, Ballet, Jazz, Modern, Heels, and Tap.",Arts & Entertainment,https://gobblerconnect.vt.edu/fusiondanceteam/
Future Medical Professionals,"Future Medical Professionals an organization that supports students interested in pre-health and pre-med pathways! Our club provides academic resources, career guidance, and opportunities to connect with peers who share your passion for medicine and healthcare",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/futuremeds/
G.E.R.M.A.N. Club,"The German Club is a men’s non-Greek social fraternity whose mission is to provide LEADERSHIP for SERVICE through FELLOWSHIP, to promote the enrichment of our lives and the enrichment of our Alma Mater, and to provide activities, both cultural and educational, that are of the highest credit to the…",Enthusiasts & Special Interests,https://vtgc.net/
Game Development Club at Virginia Tech,"To encourage and inspire students on their game development journey and create a diverse community of learners.Our club is about game design and development. We have weekly discussions ranging from conceptual design elements (what makes a game good, or not so good?) to practical coding and…",Arts & Entertainment,https://linktr.ee/vtgamedevclub?utm_source=linktree_profile_share&ltsid=220a8f6e-1434-44c9-92aa-2945ce4295ab
Gamma Theta Upsilon,Gamma Theta Upsilon is an international geographical honor society that produces leaders in geography. The Eta Zeta chapter here at Virginia Tech focuses on engaging and supporting our members academically and professionally.,Academic,https://www.gammathetaupsilon.org/
GeoGuessr Club,"The GeoGuessr Club's mission is to bring together students who share a passion for geography, exploration, and problem-solving in a fun and engaging way. Our club will host regular tournaments and teach members how to improve their gameplay. Open to all!For Fall 2026:Weekly Meetings at Tuesday…",Arts & Entertainment,https://gobblerconnect.vt.edu/geoguessrclub/
Geosciences Student Research Symposium,"The GSRS committee works to organize and run a two-day long conference, held in the Spring, to highlight the diverse research performed by both grad and undergrad students within the Department of Geosciences at VT. We are entirely student led.",Other,https://gsrsvtgeos.wixsite.com/home
Geotechnical Student Organization,An organization comprised of graduate students in the Geotechnical Engineering Program of the Via Civil and Environmental Engineering Department.,Academic,https://gobblerconnect.vt.edu/geotech/
Ghanaian Graduate Students' Association at Virginia Tech,"We provide a bridge connecting current Ghanaian VT graduate students with incoming students from Ghana, easing the process of integrating into the VT community. We offer a supportive community to existing (Ghanaian) graduate students.",Academic,https://gobblerconnect.vt.edu/ggsavt/
Girls on Outdoor Adventure for Leadership and Science at Virginia Tech,We are a group of students at Virginia Tech working together to organize free week-long backpacking summer science camps for high school students who identify as female or gender nonconforming!,Academic,https://gobblerconnect.vt.edu/galsatvirginiatech/
Girls Who Code at Virginia Tech,"A chapter of the national Girls Who Code nonprofit, dedicated to forming a female-empowered community of students who are interested in anything computer, coding, or technology related. Open to ALL students, regardless of gender identity or major.",Academic,https://east-prawn-e4f.notion.site/Welcome-to-Girls-Who-Code-at-Virginia-Tech-2c5f94e787fb81c28155cc76fd814a89?pvs=74
Girls with Glory,"Girls with Glory at Virginia Tech strives to bring girls together to create a space where they can become the healthiest version of themselves physically, spiritually, and mentally.",Religious,https://gobblerconnect.vt.edu/GWGVT/
Giving Innovative Futures with Technology,Giving Innovative Futures with Technology (GIFT) is an organization that finds and hosts community service projects that incorporate technical solutions for the Virginia Tech and Blacksburg community.,Academic,https://gobblerconnect.vt.edu/gift/
Global Dental Brigades at Virginia Tech,"A student-led program under the larger nonprofit organization, Global Brigades. A big component of our chapter is to take a week long trip abroad to work with local dental professionals to provide sustainable dental treatment to communities in need.",Advocacy & Awareness,https://info.globalbrigades.org/virginia-tech-university-dental-brigade-may-2026-panama-chapter-site
Global Medical Brigades at Virginia Tech,"Global Brigades is the largest, student-led, nonprofit health and sustainable development organization focused on a holistic model of local empowerment partnering with Panama, Honduras, Ghana, Greece, and Guatemala.",Cultural & International,https://canvas.vt.edu/courses/151014
Global Medical Missions Alliance,We are an organization striving to promote the message of Jesus' healing and love within the medical field. Our goal is to equip students interested in pursuing a career in the medical field for missions globally and locally.,Enthusiasts & Special Interests,https://www.gmma7.org/
Glossolalia: The Literary Festival at Virginia Tech,"Glossolalia is an organization that acknowledges written creativity among all disciplines. The organization works to plan an annual literary festival every spring, in which students are chosen to read their work alongside published authors.",Arts & Entertainment,https://gobblerconnect.vt.edu/glossolalia/
GobbleCraft,"A Minecraft club to serve the needs of all VT Students! We own our own server with three unique worlds on it, and provide a welcoming place to play with fellow Hokies. You can play virtually, in person, frequent, infrequent, or whatever works for you!",Arts & Entertainment,https://gobblerconnect.vt.edu/gobblecraft/
Gobbler Racing at Virginia Tech,Gobbler Racing proudly competes in the Collegiate Racing Series — an organization dedicated to educating and training students across all fields within motorsports. To then race competitively against colleges around the US. No experience is required.,Cultural & International,https://gobblerconnect.vt.edu/gobblerracing/
Good Grief,"A student-led community dedicated to providing support, reflection, and connection for those navigating grief.",Advocacy & Awareness,https://gobblerconnect.vt.edu/goodgrief/
Google Developer Student Clubs at Virginia Tech,"Google Developer Group at Virginia Tech (GDG @ VT) is a new student organization supported by Google Developers, dedicated to empowering students who are passionate about technology, innovation, and community.",Academic,https://gobblerconnect.vt.edu/developerstudentclubsvt/
Graduate and Professional Student Senate,"We represent grad students to the university and beyond, advocate for graduate student needs and concerns, and provide social opportunities and small grants to the graduate student community.",Advocacy & Awareness,https://gpss.vt.edu/
Graduate Arts Council,"The Graduate Arts Council is a group of students dedicated to exploring, supporting, and expanding the arts in and around Virginia Tech.",Academic,https://gobblerconnect.vt.edu/graduateartscouncil/
"Graduate Asian, Pacific Islander, Desi American Association at Virginia Tech","GAPIDA is committed to addressing the needs and interests of APIDA graduate and professional students by fostering a space to support inclusion and collaboration while our members are learning, teaching, and researching at Virginia Tech.",Advocacy & Awareness,https://gobblerconnect.vt.edu/gapida/
Graduate Engineering Alliance,"The Graduate Engineering Alliance (GEA) connects engineering affiliated grad students through professional, social, and service opportunities. We support incoming grad students, engineering affiliated GSOs and we advocate for grad students.",Advocacy & Awareness,https://gobblerconnect.vt.edu/gradengineers/
Graduate Engineering Mechanics Society,"GEMS exists to promote community and collaboration around topics in Engineering Mechanics, primarily for students pursuing a degree or conducting research in the Engineering Mechanics program.",Advocacy & Awareness,https://gems.beam.vt.edu/
Graduate Game Group,"The Graduate Game Group, or GGG, is a table-top gaming club, geared towards graduate students, as a way to be creative and form community outside of our departments! This club focuses on table-top and role-playing games as a way to save space for fun.",Arts & Entertainment,https://gobblerconnect.vt.edu/graduategamegroup/
Graduate Honor System,The Graduate Honor Code establishes a standard of academic integrity. The code demands a firm adherence to a set of values and is founded on the concept of honesty with respect to the intellectual efforts of oneself and others.,Other,http://ghs.graduateschool.vt.edu/
Graduate Organization for the School of Plant and Environmental Sciences,Organization that seeks to build community among graduate students within SPES. GOSPES will provide opportunities for professional development by hosting events and speakers.,Academic,https://spes.vt.edu/student-orgs/go-spes-club.html
Graduate Physics Student Society,The Graduate Physics Student Society (GPSS) is a society of graduate students that organizes students' scientific gathering and graduate student seminar.,Academic,https://www.phys.vt.edu/Graduate/GPSS.html
Graduate Student Assembly - Aerospace and Ocean Engineering,A socio-academic organization aimed at improving the graduate student experience at the department of Aerospace and Ocean engineering.,Academic,https://gsa.aoe.vt.edu/
Graduate Student Association at Department of Agricultural and Applied Economics,GSA at AAEC serves the needs of graduate students and represent their interests. We organize various social activities to connect students with faculty. We also conduct departmental seminars to help students present and share their research work.,Academic,https://aaec.vt.edu/academics/graduate/gsa.html
Graduate Urban Affairs and Planning Association,"The Graduate Urban Affairs and Planning Association (GUAPA) provides a creative and professional environment for graduate students to collaborate with peers, faculty, other departments, and industry professionals.",Academic,https://gobblerconnect.vt.edu/guapa/
Graduate Women in Chemistry,Our group aims to provide a community of support and professional development resources for graduate women studying chemistry at Virginia Tech.,Academic,https://gobblerconnect.vt.edu/gradwomeninchem/
Greek Cru at Virginia Tech,Seeking to equip men and women to leave a lasting spiritual legacy for Christ in their fraternity or sorority.,Other,https://gobblerconnect.vt.edu/greekcru/
Gregory Guard,"Honorary Military Drill Team for VT, named in memory of SGT Earl D. Gregory, one of the 7 MOH recipients from VT. We do spin performances, silent drill routines while marching in parades, Honor VTs and saber arches for football games, and 21 Gun Salutes",Arts & Entertainment,https://gobblerconnect.vt.edu/guard/
Guitar Club,"Have you ever wanted to learn to be in a community of music enjoyers? Come check out guitar club! Here, you'll find friendly guitarists that are ready to share what they know and jam together. All musicians, instruments, and level of mastery are welcome!",Arts & Entertainment,https://gobblerconnect.vt.edu/guitarclub/
H.E.I.F.E.R.S. at Virginia Tech,"H.E.I.F.E.R.S. at Virginia Tech is a student club focused on community building through events, fundraising, and agricultural outreach, offering leadership and involvement opportunities for all members.",Academic,https://linktr.ee/heifersatvirginiatech
Habitat for Humanity at Virginia Tech,"Our organization seeks to get the student body interacting in the local community by way of participating in Habitat house builds, as well as other volunteer opportunities. We are affiliated with Habitat for Humanity of the New River Valley",Service & Charity,https://gobblerconnect.vt.edu/vthabitat/
Hang Gliding and Paragliding Club at Virginia Tech,"Imagine yourself with a glider on your back dashing down a 30ft hill, grinning ear to ear, and getting airborne for the first time! Join a passionate group excited to fly and eager to get YOU in the air. Unpowered free-flight awaits!",Recreation,https://gobblerconnect.vt.edu/hanggliding/
Harmony: Delight in Dancing,"Harmony is a non-audition-based dance group where members can enjoy dancing, teaching dance, and exploring a variety of styles without pressure. We offer open classes in a variety of styles for a wide range of experience and skill levels.",Arts & Entertainment,https://gobblerconnect.vt.edu/harmonydelightindancing/
Harvesting Hope,"Harvesting Hope is committed to empowering smallholder farmers and strengthening food systems locally and globally. Inspired by our work with smallholder farmers in South Africa, we recognize the challenges many farmers face in accessing ag. resources.",Academic,https://gobblerconnect.vt.edu/harvestinghope/
Help Save The Next Girl at Virginia Tech,"We are inspired. We are motivated. We are united. We are students who believe that complacency in response to violence is not an answer. We are committed to do whatever it takes, for as long as it takes, to Help Save The Next Girl.",Advocacy & Awareness,http://helpsavethenextgirl.com/
Her Campus at Virginia Tech,"Her Campus at Virginia Tech is a student-run chapter of the #1 online magazine, written by and for college-aged women that covers content related to Virginia Tech and its students!",Advocacy & Awareness,https://gobblerconnect.vt.edu/hercampusatvirginiatech/
"Hermandad de Sigma Iota Alpha, Inc.","As Hermanas of Hermandad de Sigma Iota Alpha Inc., our mission is to uphold the goals set forth by our thirteen founding mothers. We pledge to formalize, cultivate, and foster bonds amongst each other as sisters and abide by respect, trust, and communication, professionalism, and accountability.",Cultural & International,https://gobblerconnect.vt.edu/sia/
Hill and Veil,The Middle Eastern Dance Association at Virginia Tech,Arts & Entertainment,https://sites.google.com/a/vt.edu/hillandveil-vt/
Hindu YUVA at Virginia Tech,"The mission of The Virginia Tech Hindu YUVA organization is to bring together both Hindu and non-Hindu students to raise awareness about Hinduism. As one of the largest and oldest religions in the world, we believe it is necessary that there be an organization on campus to represent the interests…",Advocacy & Awareness,https://gobblerconnect.vt.edu/vthinduyuva/
History Club at Virginia Tech,"The History Club at Virginia Tech is a club centered around History. For History majors, minors, and non-majors - all history enthusiasts are welcome!",Academic,https://gobblerconnect.vt.edu/histclub/
History Graduate Student Association,The History Graduate Student Association at Virginia Tech exists to promote communication among students and faculty as well as venues through which the study of history can reach the university and public at large.,Academic,https://liberalarts.vt.edu/departments-and-schools/department-of-history/liberalarts-history-graduate-program-home-page.html
Hokie Activities Board,Entertaining Hokies since 1969. The Hokie Activities Board's mission is to provide quality educational and social entertainment that represents the diverse culture of Virginia Tech's students and community.,Arts & Entertainment,https://campuslife.vt.edu/student_experiences/hab.html
Holding Hands at Virginia Tech,"Holding Hands Connect exists to combat student isolation by uniting Virginia Tech students around a shared commitment to giving back. Through fundraising, tabling, and volunteer support for Ronald McDonald House Charities, we create opportunities for students to make a tangible difference in the…",Professional & Career Development,https://gobblerconnect.vt.edu/holdinghands/
Home Design at Virginia Tech,"Home Design at Virginia Tech allows RED students to network, learn about new software and steps to certification and licensure post graduation. We also aim to take trips to homes and businesses we learn about in depth in class, and more.",Academic,https://gobblerconnect.vt.edu/homedesign/
Honor of Kings Club at Virginia Tech,"A student gaming community for players of Honor of Kings at Virginia Tech. We focus on teamwork, strategy, and friendly competition through regular gaming sessions and tournaments.",Cultural & International,https://gobblerconnect.vt.edu/hokvt/
Hope to Walk at Virginia Tech,"We fundraise and volunteer for Hope to Walk: a non-profit organization that provides low-cost prosthetic legs and hope to a world in need, ensuring all amputees can access the ability to walk.",Academic,https://gobblerconnect.vt.edu/hopetowalkatvirginiatech/
Horticulture Club at Virginia Tech,"The Horticulture Club strives to promote horticulture through fellowship, education, and development. All students are welcome to the club, all you need is an interest in plants!",Enthusiasts & Special Interests,https://horticultureclubatvt.company.site/
Hospitality Management Association,"The Hospitality Management Association offers students the opportunity for hands-on experience, networking, educational travel, and a competitive advantage in hospitality in an effort to ensure readiness and future success in the industry.",Academic,http://vthma.com
Human Development and Family Science Student Association at Virginia Tech,"The HDFSSA is a student-led organization focused on connecting HDFS students with opportunities to lead, build community, and support academic success.",Academic,https://gobblerconnect.vt.edu/hdfssa/
Human Development Graduate Student Association at Virginia Tech,"The purpose of this organization is to enhance the professional, academic, and social well being of graduate students in the Human Development program at Virginia Tech.",Other,https://sites.google.com/view/vthdfsgsa/executive-board
Human Factors and Ergonomic Society: Student Chapter at Virginia Tech,"The Society's mission is to promote the discovery and exchange of knowledge concerning the characteristics of human beings that are applicable to the design of systems and devices of all kinds.Ergonomics and human factors use knowledge of human abilities and limitations to design systems,…",Academic,https://hfes.ise.vt.edu/
"Human Nutrition, Foods, and Exercise Graduate Student Association","The central mission of the HNFE Graduate Student Association is to foster community and connection through our graduate student programs within HNFE. The GSA officers attend monthly meetings with Dr. Volpe to discuss any concerns from students in HNFE, planned activities and events, as well as…",Academic,https://gobblerconnect.vt.edu/hnfegsa/
Human Powered Submarine at Virginia Tech,"The Human Powered Submarine Team at Virginia Tech is an engineering design team comprised of and run by students. We work to design, build, test, and race a fully flooded submarine at our biennial competition, the International Submarine Races.",Academic,http://www.hps.aoe.vt.edu/
